Rule,"p=0, c=1 no translation Lambda_1","p=0, c=1 no translation Lambda_2","p=1, c=1 no translation Lambda_1","p=1, c=1 no translation Lambda_2","p=2, c=1 no translation Lambda_1","p=2, c=1 no translation Lambda_2","p=3, c=1 no translation Lambda_1","p=3, c=1 no translation Lambda_2","p=4, c=1 no translation Lambda_1","p=4, c=1 no translation Lambda_2","p=5, c=1 no translation Lambda_1","p=5, c=1 no translation Lambda_2","p=6, c=1 no translation Lambda_1","p=6, c=1 no translation Lambda_2","p=7, c=1 no translation Lambda_1","p=7, c=1 no translation Lambda_2","p=0, c=2 no translation Lambda_1","p=0, c=2 no translation Lambda_2","p=1, c=2 no translation Lambda_1","p=1, c=2 no translation Lambda_2","p=2, c=2 no translation Lambda_1","p=2, c=2 no translation Lambda_2","p=3, c=2 no translation Lambda_1","p=3, c=2 no translation Lambda_2","p=4, c=2 no translation Lambda_1","p=4, c=2 no translation Lambda_2","p=5, c=2 no translation Lambda_1","p=5, c=2 no translation Lambda_2","p=6, c=2 no translation Lambda_1","p=6, c=2 no translation Lambda_2","p=0, c=3 no translation Lambda_1","p=0, c=3 no translation Lambda_2","p=1, c=3 no translation Lambda_1","p=1, c=3 no translation Lambda_2","p=2, c=3 no translation Lambda_1","p=2, c=3 no translation Lambda_2","p=3, c=3 no translation Lambda_1","p=3, c=3 no translation Lambda_2","p=4, c=3 no translation Lambda_1","p=4, c=3 no translation Lambda_2","p=5, c=3 no translation Lambda_1","p=5, c=3 no translation Lambda_2","p=0, c=4 no translation Lambda_1","p=0, c=4 no translation Lambda_2","p=1, c=4 no translation Lambda_1","p=1, c=4 no translation Lambda_2","p=2, c=4 no translation Lambda_1","p=2, c=4 no translation Lambda_2","p=3, c=4 no translation Lambda_1","p=3, c=4 no translation Lambda_2","p=4, c=4 no translation Lambda_1","p=4, c=4 no translation Lambda_2","p=0, c=5 no translation Lambda_1","p=0, c=5 no translation Lambda_2","p=1, c=5 no translation Lambda_1","p=1, c=5 no translation Lambda_2","p=2, c=5 no translation Lambda_1","p=2, c=5 no translation Lambda_2","p=3, c=5 no translation Lambda_1","p=3, c=5 no translation Lambda_2","p=0, c=1 left translation Lambda_1","p=0, c=1 left translation Lambda_2","p=1, c=1 left translation Lambda_1","p=1, c=1 left translation Lambda_2","p=2, c=1 left translation Lambda_1","p=2, c=1 left translation Lambda_2","p=3, c=1 left translation Lambda_1","p=3, c=1 left translation Lambda_2","p=4, c=1 left translation Lambda_1","p=4, c=1 left translation Lambda_2","p=5, c=1 left translation Lambda_1","p=5, c=1 left translation Lambda_2","p=6, c=1 left translation Lambda_1","p=6, c=1 left translation Lambda_2","p=0, c=2 left translation Lambda_1","p=0, c=2 left translation Lambda_2","p=1, c=2 left translation Lambda_1","p=1, c=2 left translation Lambda_2","p=2, c=2 left translation Lambda_1","p=2, c=2 left translation Lambda_2","p=3, c=2 left translation Lambda_1","p=3, c=2 left translation Lambda_2","p=4, c=2 left translation Lambda_1","p=4, c=2 left translation Lambda_2","p=5, c=2 left translation Lambda_1","p=5, c=2 left translation Lambda_2","p=0, c=3 left translation Lambda_1","p=0, c=3 left translation Lambda_2","p=1, c=3 left translation Lambda_1","p=1, c=3 left translation Lambda_2","p=2, c=3 left translation Lambda_1","p=2, c=3 left translation Lambda_2","p=3, c=3 left translation Lambda_1","p=3, c=3 left translation Lambda_2","p=4, c=3 left translation Lambda_1","p=4, c=3 left translation Lambda_2","p=0, c=4 left translation Lambda_1","p=0, c=4 left translation Lambda_2","p=1, c=4 left translation Lambda_1","p=1, c=4 left translation Lambda_2","p=2, c=4 left translation Lambda_1","p=2, c=4 left translation Lambda_2","p=3, c=4 left translation Lambda_1","p=3, c=4 left translation Lambda_2","p=0, c=5 left translation Lambda_1","p=0, c=5 left translation Lambda_2","p=1, c=5 left translation Lambda_1","p=1, c=5 left translation Lambda_2","p=2, c=5 left translation Lambda_1","p=2, c=5 left translation Lambda_2","p=0, c=1 right translation Lambda_1","p=0, c=1 right translation Lambda_2","p=1, c=1 right translation Lambda_1","p=1, c=1 right translation Lambda_2","p=2, c=1 right translation Lambda_1","p=2, c=1 right translation Lambda_2","p=3, c=1 right translation Lambda_1","p=3, c=1 right translation Lambda_2","p=4, c=1 right translation Lambda_1","p=4, c=1 right translation Lambda_2","p=5, c=1 right translation Lambda_1","p=5, c=1 right translation Lambda_2","p=6, c=1 right translation Lambda_1","p=6, c=1 right translation Lambda_2","p=0, c=2 right translation Lambda_1","p=0, c=2 right translation Lambda_2","p=1, c=2 right translation Lambda_1","p=1, c=2 right translation Lambda_2","p=2, c=2 right translation Lambda_1","p=2, c=2 right translation Lambda_2","p=3, c=2 right translation Lambda_1","p=3, c=2 right translation Lambda_2","p=4, c=2 right translation Lambda_1","p=4, c=2 right translation Lambda_2","p=5, c=2 right translation Lambda_1","p=5, c=2 right translation Lambda_2","p=0, c=3 right translation Lambda_1","p=0, c=3 right translation Lambda_2","p=1, c=3 right translation Lambda_1","p=1, c=3 right translation Lambda_2","p=2, c=3 right translation Lambda_1","p=2, c=3 right translation Lambda_2","p=3, c=3 right translation Lambda_1","p=3, c=3 right translation Lambda_2","p=4, c=3 right translation Lambda_1","p=4, c=3 right translation Lambda_2","p=0, c=4 right translation Lambda_1","p=0, c=4 right translation Lambda_2","p=1, c=4 right translation Lambda_1","p=1, c=4 right translation Lambda_2","p=2, c=4 right translation Lambda_1","p=2, c=4 right translation Lambda_2","p=3, c=4 right translation Lambda_1","p=3, c=4 right translation Lambda_2","p=0, c=5 right translation Lambda_1","p=0, c=5 right translation Lambda_2","p=1, c=5 right translation Lambda_1","p=1, c=5 right translation Lambda_2","p=2, c=5 right translation Lambda_1","p=2, c=5 right translation Lambda_2","p=0, c=1 left-2 translation Lambda_1","p=0, c=1 left-2 translation Lambda_2","p=1, c=1 left-2 translation Lambda_1","p=1, c=1 left-2 translation Lambda_2","p=2, c=1 left-2 translation Lambda_1","p=2, c=1 left-2 translation Lambda_2","p=3, c=1 left-2 translation Lambda_1","p=3, c=1 left-2 translation Lambda_2","p=4, c=1 left-2 translation Lambda_1","p=4, c=1 left-2 translation Lambda_2","p=5, c=1 left-2 translation Lambda_1","p=5, c=1 left-2 translation Lambda_2","p=6, c=1 left-2 translation Lambda_1","p=6, c=1 left-2 translation Lambda_2","p=0, c=2 left-2 translation Lambda_1","p=0, c=2 left-2 translation Lambda_2","p=1, c=2 left-2 translation Lambda_1","p=1, c=2 left-2 translation Lambda_2","p=2, c=2 left-2 translation Lambda_1","p=2, c=2 left-2 translation Lambda_2","p=3, c=2 left-2 translation Lambda_1","p=3, c=2 left-2 translation Lambda_2","p=4, c=2 left-2 translation Lambda_1","p=4, c=2 left-2 translation Lambda_2","p=5, c=2 left-2 translation Lambda_1","p=5, c=2 left-2 translation Lambda_2","p=0, c=3 left-2 translation Lambda_1","p=0, c=3 left-2 translation Lambda_2","p=1, c=3 left-2 translation Lambda_1","p=1, c=3 left-2 translation Lambda_2","p=2, c=3 left-2 translation Lambda_1","p=2, c=3 left-2 translation Lambda_2","p=3, c=3 left-2 translation Lambda_1","p=3, c=3 left-2 translation Lambda_2","p=4, c=3 left-2 translation Lambda_1","p=4, c=3 left-2 translation Lambda_2","p=0, c=4 left-2 translation Lambda_1","p=0, c=4 left-2 translation Lambda_2","p=1, c=4 left-2 translation Lambda_1","p=1, c=4 left-2 translation Lambda_2","p=2, c=4 left-2 translation Lambda_1","p=2, c=4 left-2 translation Lambda_2","p=3, c=4 left-2 translation Lambda_1","p=3, c=4 left-2 translation Lambda_2","p=0, c=5 left-2 translation Lambda_1","p=0, c=5 left-2 translation Lambda_2","p=1, c=5 left-2 translation Lambda_1","p=1, c=5 left-2 translation Lambda_2","p=2, c=5 left-2 translation Lambda_1","p=2, c=5 left-2 translation Lambda_2","p=0, c=1 right-2 translation Lambda_1","p=0, c=1 right-2 translation Lambda_2","p=1, c=1 right-2 translation Lambda_1","p=1, c=1 right-2 translation Lambda_2","p=2, c=1 right-2 translation Lambda_1","p=2, c=1 right-2 translation Lambda_2","p=3, c=1 right-2 translation Lambda_1","p=3, c=1 right-2 translation Lambda_2","p=4, c=1 right-2 translation Lambda_1","p=4, c=1 right-2 translation Lambda_2","p=5, c=1 right-2 translation Lambda_1","p=5, c=1 right-2 translation Lambda_2","p=6, c=1 right-2 translation Lambda_1","p=6, c=1 right-2 translation Lambda_2","p=0, c=2 right-2 translation Lambda_1","p=0, c=2 right-2 translation Lambda_2","p=1, c=2 right-2 translation Lambda_1","p=1, c=2 right-2 translation Lambda_2","p=2, c=2 right-2 translation Lambda_1","p=2, c=2 right-2 translation Lambda_2","p=3, c=2 right-2 translation Lambda_1","p=3, c=2 right-2 translation Lambda_2","p=4, c=2 right-2 translation Lambda_1","p=4, c=2 right-2 translation Lambda_2","p=5, c=2 right-2 translation Lambda_1","p=5, c=2 right-2 translation Lambda_2","p=0, c=3 right-2 translation Lambda_1","p=0, c=3 right-2 translation Lambda_2","p=1, c=3 right-2 translation Lambda_1","p=1, c=3 right-2 translation Lambda_2","p=2, c=3 right-2 translation Lambda_1","p=2, c=3 right-2 translation Lambda_2","p=3, c=3 right-2 translation Lambda_1","p=3, c=3 right-2 translation Lambda_2","p=4, c=3 right-2 translation Lambda_1","p=4, c=3 right-2 translation Lambda_2","p=0, c=4 right-2 translation Lambda_1","p=0, c=4 right-2 translation Lambda_2","p=1, c=4 right-2 translation Lambda_1","p=1, c=4 right-2 translation Lambda_2","p=2, c=4 right-2 translation Lambda_1","p=2, c=4 right-2 translation Lambda_2","p=3, c=4 right-2 translation Lambda_1","p=3, c=4 right-2 translation Lambda_2","p=0, c=5 right-2 translation Lambda_1","p=0, c=5 right-2 translation Lambda_2","p=1, c=5 right-2 translation Lambda_1","p=1, c=5 right-2 translation Lambda_2","p=2, c=5 right-2 translation Lambda_1","p=2, c=5 right-2 translation Lambda_2"
Rule 0,1+0j,4.7915002726813084e-33+0j,1.9999999999999998+0j,1.7164342965143715e-32+0j,2.0000000000000004+0j,3.469446951953614e-18+0j,2+0j,1.3382311248227613e-32+0j,2+0j,3.0781054689967504e-32+0j,2+0j,1.6288941029255535e-32+0j,2+0j,1.5565071880009533e-32+0j,2.0000000000000004+0j,1.0842021724855044e-19+0j,1+0j,5.3881405307192055e-33+0j,2.0000000000000004+0j,3.469446951953614e-18+0j,2+0j,4.0107066790941366e-32+0j,2+0j,2.6544992806949227e-32+0j,2+0j,8.521621893190565e-33+0j,2+0j,1.1016921847830478e-32+0j,2.0000000000000004+0j,1.0842021724855044e-19+0j,1+0j,3.56530152169016e-33+0j,2+0j,1.468184464178257e-32+0j,2+0j,2.363828775357742e-32+0j,2+0j,2.3775767763493118e-32+0j,2+0j,2.900172211850447e-33+0j,2.0000000000000004+0j,1.0842021724855044e-19+0j,1+0j,6.597097776932144e-33+0j,2+0j,1.601749483556091e-32+0j,2+0j,3.296908335715761e-32+0j,2+0j,8.736778546075297e-33+0j,2.0000000000000004+0j,1.0842021724855044e-19+0j,1+0j,1.073387726952053e-32+0j,2+0j,1.3003726273326306e-32+0j,2+0j,5.5929609643832215e-33+0j,2.0000000000000004+0j,1.0842021724855044e-19+0j,1+0j,1.0976083167179652e-32+0j,2.0000000000000004+0j,1.6001497299370035e-18+0j,2+0j,4.843287248456286e-18-4.7121945664976616e-18j,1.9999999999999998+0j,1.633669846419271e-17-1.5109985925754047e-18j,2+0j,1.6357680888681122e-17+0j,2+0j,4.2734969692382407e-17+0j,2+0j,2.7519704308355434e-17+0j,1+0j,5.590473325059995e-33+0j,2+0j,5.551115123125783e-17+0j,1.9999999999999998+0j,1.2176072268887858e-17-9.838071031229563e-18j,1.9999999999999998+0j,1.3799087029388059e-17+0j,2+0j,9.647251499723163e-18-1.863692007524486e-17j,1.9999999999999993+0j,5.551115123125783e-17+0j,1+0j,7.668719872999517e-18-6.840984398343968e-18j,2.0000000000000004+0j,2.767362134154549e-17+0j,2+0j,2.555569333211036e-17+0j,2+0j,6.07436823029723e-17-4.172779845439591e-17j,2+0j,9.531943887642274e-18-1.4491312176503008e-17j,0.9999999999999998+0j,2.7755575615628914e-17+0j,2+0j,1.3877787807814457e-17+0j,2+0j,2.2824141306630168e-17-1.509826987854264e-17j,2+0j,5.736169071842822e-17+0j,1.0000000000000004+0j,8.372528251401838e-18+0j,2.220446049250313e-16+0j,2+0j,1.9999999999999996+0j,1.1102230246251565e-16+0j,1.0000000000000002+0j,2.018883626442698e-33+0j,2+0j,4.1232269943191596e-18+0j,2+0j,1.3940419063296398e-17+0j,2.0000000000000004+0j,2.097750094929932e-18+0j,2.0000000000000004+0j,4.3141660693206747e-16+0j,1.9999999999999998+0j,5.580346485229639e-19+0j,2+0j,1.3877787807814457e-17+0j,1+0j,3.1929124079577717e-18+0j,1.9999999999999998+0j,7.678361013303455e-18+0j,1.9999999999999996+0j,3.3080295407844037e-18-5.506975504492422e-18j,2+0j,1.1986956258805558e-18+0j,2.000000000000001+0j,6.938893903907228e-18+0j,2+0j,1.3877787807814457e-17+0j,1+0j,2.3589080679425034e-18+0j,2.0000000000000004+0j,2.7755575615628914e-17+0j,2+0j,1.5072508734974293e-18+0j,2.000000000000001+0j,1.3877787807814457e-17+0j,1.9999999999999996+0j,4.4057991604687903e-16+0j,1.0000000000000002+0j,7.087733111507455e-19-1.0210191850858331e-18j,1.9999999999999998+0j,3.2718606124720203e-18+0j,1.9999999999999993+0j,7.032820455972318e-19-2.797056276207915e-19j,1.9999999999999991+0j,1.3877787807814457e-17+0j,0.9999999999999997+0j,2.4032520685161304e-19-2.0231066550550713e-19j,2.0000000000000004+0j,6.938893903907228e-18+0j,1.9999999999999991+0j,1.3993776091350009e-18+0j,1+0j,5.674737592240099e-33+0j,2.0000000000000004+0j,1.1514536312325235e-32+0j,2+0j,2.7755575615628914e-17+0j,2+0j,1.4684378293239483e-17+0j,2+0j,2.7755575615628914e-17+0j,1.9999999999999998+0j,1.26707511160457e-17+0j,2+0j,2.352361624489183e-19+0j,1+0j,2.6292496584035194e-32+0j,2.0000000000000004+0j,5.551115123125783e-17+0j,2+0j,2.94251630703556e-18+0j,1.9999999999999998+0j,1.3877787807814457e-17+0j,2+0j,1.3877787807814457e-17+0j,1.9999999999999998+0j,3.723367093904867e-18+0j,1+0j,5.945585346002776e-33+0j,2+0j,1.4684378293239483e-17+0j,1.9999999999999998+0j,1.6404304070613873e-18-2.3096994895626553e-18j,1.9999999999999998+0j,1.26707511160457e-17+0j,1.9999999999999998+0j,1.7541951577043833e-18-1.713233115888083e-19j,1+0j,1.3877787807814457e-17+0j,1.9999999999999998+0j,1.3877787807814457e-17+0j,1.9999999999999998+0j,1.9285912261130222e-17+0j,1.9999999999999998+0j,3.723367093904867e-18+0j,1+0j,4.804280684139685e-19+0j,1.9999999999999998+0j,1.26707511160457e-17+0j,2+0j,1.497885218560077e-18+0j,1+0j,3.487106573357939e-33+0j,2.0000000000000004+0j,3.469446951953614e-18+0j,2+0j,3.469446951953614e-18+0j,2+0j,2.7755575615628914e-17+0j,2+0j,1.3877787807814457e-17+0j,2+0j,7.874567241402064e-19-7.947004476182238e-19j,2+0j,1.0601534796305405e-18+0j,1+0j,3.889367354897249e-33+0j,2+0j,4.767479995513014e-33+0j,2.0000000000000004+0j,2.2604865165538614e-19+0j,2.0000000000000004+0j,1.7045653027610656e-18+0j,2+0j,7.194258415568433e-19-4.044272832039254e-19j,2.0000000000000004+0j,8.702997099087205e-19-7.142258494991916e-19j,1.0000000000000002+0j,1.3877787807814457e-17+0j,2+0j,2.7755575615628914e-17+0j,1.9999999999999996+0j,3.909749334628337e-18+0j,2+0j,7.874567241402064e-19-7.947004476182238e-19j,2+0j,1.5385711918609932e-20+0j,0.9999999999999998+0j,2.7755575615628914e-17+0j,2.0000000000000004+0j,1.7045653027610656e-18+0j,2.0000000000000004+0j,2.9553816700563156e-18+0j,2.0000000000000004+0j,8.702997099087205e-19-7.142258494991916e-19j,1.0000000000000002+0j,3.921198328793968e-19+0j,2+0j,7.874567241402064e-19-7.947004476182238e-19j,2+0j,1.5188658785862358e-18-3.039721172372955e-18j
Rule 1,2.7755575615628914e-17+0j,2.7755575615628914e-17+0j,1.2812255736749771e-08+0j,9.626338794036791e-34+0j,3.3917185536252562e-09+0j,1.4715874515028605e-09+0j,6.291115577983689e-09+0j,1.5116701828494403e-09-9.245373892440109e-10j,1.3482308640856513e-09+0j,7.43283641945868e-10+0j,1.8414615754785776e-09+0j,1.2113985936520873e-09+0j,1.584552012190716e-09+0j,5.971376278233809e-10+0j,1.9184856144108812e-09+0j,1.091302890794564e-09+0j,1.6180339887498953+0j,0.5000000000000002-0.8660254037844393j,2.0000000000000013+0j,0.003989302445368342+0j,2.000000000000001+0j,0.0040646312870250886+0j,1.9999999999999973+0j,0.005227635345586363+0j,2+0j,0.0045667440605227485+0j,1.999999999999999+0j,0.004170503773694507-0.002010338666437581j,1.9999999999999996+0j,0.005831954422402351+0j,9.461015365949887e-09+0j,1.4082906390087161e-09-1.166226291367444e-09j,6.707844504529421e-09+0j,3.5440414377963606e-09+0j,3.936812759300848e-09+0j,3.772615884541002e-09-1.6441147234077583e-09j,1.3196410983984565e-09+0j,3.088805245045224e-09+0j,2.905569827698e-09+0j,1.7510871617697337e-09+0j,2.744407670397172e-09+0j,1.888326501971126e-09-1.0583654207943593e-09j,1.6180339887498958+0j,0.5-0.8660254037844385j,2.0000000000000018+0j,0.003827751361733213-0.0018418607841181403j,2+0j,0.003004499471670509-0.0014552398651966612j,1.9999999999999996+0j,0.00467726696217284+0j,2.0000000000000004+0j,0.005239921714620058+0j,1.7916271675672895e-09+1.0476609467843078e-09j,1.7916271675672895e-09-1.0476609467843078e-09j,5.8615913649013744e-09+0j,2.7362152355501457e-09+0j,1.191534605071317e-08+0j,2.443273683990685e-09+0j,1.8621617543676572e-09+0j,5.272455632388059e-10+0j,3.5155868859587668e-06+0j,9.345434125564018e-33+0j,3.298309436493298e-06+5.712899055923589e-06j,3.298309436493298e-06-5.712899055923589e-06j,3.3608341296571177e-06+5.821074943546672e-06j,3.3608341296571177e-06-5.821074943546672e-06j,3.416545910710253e-06+0j,2.5444040510670208e-06-2.327610888973317e-06j,5.087081845815222e-06+0j,1.974873311279371e-06+0j,2.8744464360709173e-06+0j,3.1999081255567228e-06+0j,2.4107943770933618e-06+0j,1.0783489224614503e-06-1.8677772891928656e-06j,1.0000000000000036+0j,1+0j,1.8392867552141603+0j,1.0000000000000002+0j,1.8392867552141612+0j,0.9999999999999977+0j,1.8392867552141645+0j,0.9999999999999999+0j,1.8392867552141605+0j,1.000000000000001+0j,1+0j,1.839286755214161+0j,1.0000000000000002+0j,0.4999999999999998-0.8660254037844378j,1.0000000000000007+0j,0.5000000000000001-0.8660254037844387j,0.9999999999999964+0j,0.5000000000000018-0.8660254037844385j,1.000000000000001+0j,0.500000000000002-0.8660254037844368j,1.0000000000000029+0j,0.5000000000000006-0.8660254037844396j,1.0000000000000009+0j,1.0000000000000009+0j,1.8392867552141652+0j,1.0000000000000002+0j,1.8392867552141636+0j,1+0j,1.8392867552141647+0j,1.000000000000001+0j,1.0000000000000004+0j,0.8090169943749472-0.5877852522924729j,1.1486983549970382+0j,0.9293164906031461-0.6751879523998802j,1.1486983549970358+0j,0.9293164906031497-0.6751879523998817j,2.5667923886885807e-06+4.4458134732507174e-06j,2.5667923886885807e-06-4.4458134732507174e-06j,9.647310145163958e-06+0j,2.8988424118992922e-06+0j,6.370693234843066e-06+0j,1.7229243231762657e-06+0j,2.398148007063646e-06+4.1537552943744264e-06j,2.398148007063646e-06-4.1537552943744264e-06j,2.8981767184063705e-06+0j,1.3955101298000953e-06-7.604012736146434e-07j,1.9946687463460325e-06+3.4548807977127417e-06j,1.9946687463460325e-06-3.4548807977127417e-06j,1.28933484619074e-06+0j,1.0352034444252093e-06-1.7929538579920942e-06j,1.0000000000000004+0j,0.9999999999999994+0j,1.8392867552141627+0j,1.0000000000000002+0j,1.8392867552141592+0j,0.999999999999998+0j,1.8392867552141632+0j,0.9999999999999997+0j,1.8392867552141619+0j,0.9999999999999986+0j,1.83928675521416+0j,1.0000000000000024+0j,1.0000000000000002+0j,0.4999999999999997-0.8660254037844383j,1.0000000000000002+0j,0.4999999999999999-0.8660254037844375j,1.0000000000000007+0j,0.5000000000000002-0.8660254037844379j,0.999999999999998+0j,0.5000000000000002-0.8660254037844379j,1.0000000000000018+0j,0.49999999999999845-0.8660254037844377j,1.0000000000000007+0j,0.9999999999999997+0j,1.8392867552141619+0j,0.9999999999999998+0j,1.8392867552141583+0j,1.0000000000000009+0j,1.8392867552141583+0j,1.0000000000000002+0j,1.0000000000000009+0j,0.8090169943749466-0.5877852522924727j,1.1486983549970353+0j,0.9293164906031457-0.6751879523998804j,1.148698354997031+0j,0.9293164906031477-0.675187952399881j,1.2700902469808177e-33+0j,6.88715464606973e-34+0j,2.562492051266775e-08+0j,4.800125158755495e-09+0j,4.655739323877168e-09+0j,9.401623291938331e-10-7.139393055437688e-11j,4.5722461464673133e-07+7.920284220499651e-07j,4.5722461464673133e-07-7.920284220499651e-07j,1.504141255890843e-09+0j,1.202864941750089e-09+0j,6.59740672342477e-06+0j,1.184088726364767e-06+0j,1.0236655010865128e-09+1.834942734233117e-10j,1.0236655010865128e-09-1.834942734233117e-10j,1.000000000000001+0j,0.9999999999999999+0j,1.839286755214161+0j,1.0000000000000002+0j,1.839286755214159+0j,1.0000000000000007+0j,1.8392867552141625+0j,0.999999999999998+0j,1.8392867552141616+0j,1.0000000000000004+0j,1.8392867552141612+0j,1.0000000000000013+0j,1.049772080563451e-06+1.8182668393689537e-06j,1.049772080563451e-06-1.8182668393689537e-06j,1.0000000000000013+0j,5.3144098394130015e-06+0j,1.0448596614114238e-06+1.8097710736821555e-06j,1.0448596614114238e-06-1.8097710736821555e-06j,0.9999999999999984+0j,0.00013127527345458182+0j,1.3109268465618575e-06+2.2706091277358985e-06j,1.3109268465618575e-06-2.2706091277358985e-06j,0.9999999999999969+0j,0.9999999999999998+0j,1.8392867552141619+0j,0.9999999999999994+0j,1.839286755214162+0j,0.9999999999999987+0j,1.8392867552141614+0j,0.9999999999999982+0j,0.9999999999999973+0j,1.7314521295049953e-06-2.9990212292444607e-06j,1.0000000000000013+0j,0.49999999999999933-0.8660254037844382j,1.0000000000000007+0j,3.4827880106111305e-05-3.069982187561826e-05j,1.3328707880804934e-33+0j,2.9014699746577644e-33+0j,1.1099458626237727e-06+1.922468765225113e-06j,1.1099458626237727e-06-1.922468765225113e-06j,2.081627321921603e-09+0j,8.45839528769171e-10+0j,2.314935694034108e-06+4.009621063484421e-06j,2.314935694034108e-06-4.009621063484421e-06j,1.3933692443949287e-09+0j,3.6633362817884246e-10-1.025624911896897e-10j,4.547001284523092e-06+0j,9.741424102932593e-07+0j,4.6512440664895345e-10+0j,1.5924387137873935e-10-4.0263774013245527e-10j,0.9999999999999996+0j,1+0j,1.8392867552141599+0j,1.0000000000000002+0j,1.8392867552141594+0j,0.9999999999999997+0j,1.8392867552141607+0j,1.0000000000000004+0j,1.8392867552141636+0j,0.9999999999999987+0j,1.8392867552141607+0j,0.9999999999999988+0j,3.6280599265354643e-06+0j,8.891855957603115e-07+0j,1.0000000000000009+0j,2.3285954753644938e-06-6.516554943350178e-07j,3.762104351945182e-06+0j,1.133047460849036e-06-3.8723495135176274e-07j,0.9999999999999982+0j,5.592412263610393e-05-5.592482026048811e-05j,1.5810286844024743e-06+2.7384226947180293e-06j,1.5810286844024743e-06-2.7384226947180293e-06j,0.9999999999999991+0j,0.9999999999999996+0j,1.8392867552141614+0j,0.9999999999999997+0j,1.8392867552141603+0j,1.0000000000000013+0j,1.83928675521416+0j,0.9999999999999989+0j,1.0000000000000004+0j,1.5365301481609796e-06-2.66136449939376e-06j,0.9999999999999991+0j,0.5000000000000002-0.8660254037844397j,1.0000000000000002+0j,7.024125576488818e-05+0j
