Rule,Class,"p=0, c=1 no translation","p=0, c=1, left translation","p=0, c=1, right translation","p=0, c=1, left-2 translation","p=0, c=1, right-2 translation"
24,2,0.0,2.2204460492503128e-16,0.38224508584003636,2.2204460492503128e-16,2.2204460492503128e-16
25,2,-13.703608887573232,-9.608580152671543,2.2204460492503128e-16,-13.774913206360111,-13.774913206360111
26,2,0.0,1.332267629550187e-15,6.661338147750937e-16,-5.551115123125785e-16,-5.551115123125785e-16
27,2,-14.490920755529508,-7.530401716875766,-9.90705408490783,-13.393166272178695,-13.393166272178695
28,2,2.2204460492503128e-16,-1.1102230246251565e-16,0.0,1.1339849439559156e-08,1.1339849439559156e-08
29,2,4.440892098500625e-16,-9.124294314521865,-10.209245598009765,6.661338147750937e-16,6.661338147750937e-16
30,3,0.0,-1.1102230246251571e-15,0.0,0.0,0.0
32,1,-3.33066907387547e-16,4.440892098500625e-16,-2.2204460492503136e-16,-6.661338147750941e-16,-6.661338147750941e-16
33,2,-13.2626000019628,6.661338147750937e-16,4.440892098500625e-16,-13.527344255266208,-13.527344255266208
34,2,-1.1102230246251565e-16,0.481211825059604,4.440892098500625e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
35,2,-39.903636009456335,0.28119957432296055,0.0,-38.32582576836271,-38.32582576836271
36,2,0.3822450858400356,0.0,-6.661338147750941e-16,0.38224508584003647,0.38224508584003647
37,2,8.881784197001248e-16,-9.246234128683136,-18.46962191385848,2.2204460492503128e-16,2.2204460492503128e-16
38,2,-2.2204460492503136e-16,1.110223024625156e-15,0.0,4.440892098500625e-16,4.440892098500625e-16
40,1,0.0,0.28119957432296105,-2.2204460492503136e-16,-3.33066907387547e-16,-3.33066907387547e-16
41,2,-9.44611719265372,0.2811995743229622,0.0,-17.859620371299137,-17.859620371299137
42,2,0.0,0.609377863436007,6.661338147750937e-16,8.881784197001248e-16,8.881784197001248e-16
43,2,-19.447397294834467,0.48121182505960486,0.0,-38.050712133428576,-38.050712133428576
44,2,0.38224508584003586,2.2204460492503128e-16,-3.33066907387547e-16,0.382245085840036,0.382245085840036
45,3,1.7763568394002489e-15,-7.771561172376099e-16,-12.682221666648653,0.0,0.0
46,2,0.0,0.3822450858400354,2.2204460492503128e-16,8.881784197001248e-16,8.881784197001248e-16
50,2,0.0,0.0,2.494136310798185e-08,0.0,0.0
51,2,-inf,-2.2204460492503136e-16,-5.551115123125785e-16,-inf,-inf
54,4,0.0,-1.1102230246251571e-15,0.0,-1.1102230246251565e-16,-1.1102230246251565e-16
56,2,1.332267629550187e-15,0.2811995743229622,0.48121182505960336,6.661338147750937e-16,6.661338147750937e-16
57,2,-13.430830034806307,0.2811995743229617,0.28119957432296255,-13.028039363070967,-13.028039363070967
58,2,-1.1102230246251565e-16,0.2811995743229624,0.0,6.661338147750937e-16,6.661338147750937e-16
60,3,4.440892098500625e-16,1.332267629550187e-15,0.0,-4.440892098500627e-16,-4.440892098500627e-16
62,2,-2.2204460492503136e-16,-1.1102230246251571e-15,-1.3322676295501888e-15,-1.1102230246251565e-16,-1.1102230246251565e-16
72,1,0.38224508584003636,-2.2204460492503136e-16,-7.771561172376099e-16,0.38224508584003525,0.38224508584003525
73,2,0.1994605782430045,-9.849175146272605,-18.216606362988305,0.19946057824300487,0.19946057824300487
74,2,-4.440892098500627e-16,0.38224508584003647,-3.33066907387547e-16,1.3951604663041307e-08,1.3951604663041307e-08
76,2,0.609377863436006,2.2204460492503128e-16,-2.4424906541753475e-15,0.6093778634360055,0.6093778634360055
77,2,0.48121182505960336,-12.474438496493388,-15.073582795340455,0.48121182505960347,0.48121182505960347
78,2,0.2811995743229639,-4.440892098500627e-16,-1.5543122344752203e-15,0.2811995743229624,0.2811995743229624
90,3,4.440892098500625e-16,1.7763568394002489e-15,-5.551115123125785e-16,0.0,0.0
